input_norm,output_norm
-0.7586712261846604,-0.8534698974669347
-0.7576941866145579,-0.8523809968171363
-0.7567171470444554,-0.851266004860186
-0.7557401074743527,-0.8502002245221203
-0.7547630679042501,-0.849090329948285
-0.7537860283341475,-0.8480177060552258
-0.752808988764045,-0.846942861379202
-0.7518319491939424,-0.8458094344148057
-0.7508549096238397,-0.8447362015726337
-0.7498778700537372,-0.8436672327553165
-0.7489008304836346,-0.8425785674427543
-0.747923790913532,-0.8414849033927903
-0.7469467513434294,-0.8403931253696947
-0.7459697117733268,-0.8392183375149329
-0.7449926722032243,-0.8381241295467499
-0.7440156326331216,-0.8370935631626333
-0.743038593063019,-0.8360226696461716
-0.7420615534929165,-0.8349114575761035
-0.7410845139228139,-0.8337929727650802
-0.7401074743527113,-0.8327338277182964
-0.7391304347826086,-0.8316588562205299
-0.7381533952125061,-0.8304851557105127
-0.7371763556424036,-0.8292647958559304
-0.7361993160723009,-0.8283768053640186
-0.7352222765021983,-0.8272827114224266
-0.7342452369320958,-0.8261967039263316
-0.7332681973619932,-0.8249866627255757
-0.7322911577918906,-0.8239505985208972
-0.7313141182217879,-0.8228863274566637
-0.7303370786516854,-0.8217828070831759
-0.7293600390815829,-0.8206558862955735
-0.7283829995114802,-0.8195539414916818
-0.7274059599413776,-0.8185325337872182
-0.726428920371275,-0.8173724162876256
-0.7254518808011725,-0.8161780189357901
-0.7244748412310699,-0.8151093558311527
-0.7234978016609672,-0.8140927317522787
-0.7225207620908647,-0.8130283019969916
-0.7215437225207622,-0.8118962245867889
-0.7205666829506595,-0.8108077518802355
-0.7195896433805569,-0.8096756960816975
-0.7186126038104543,-0.8085822870756768
-0.7176355642403518,-0.8076063220926698
-0.7166585246702492,-0.8064961887196794
-0.7156814851001465,-0.8053605144859981
-0.714704445530044,-0.8043016452930859
-0.7137274059599414,-0.8032652769623054
-0.7127503663898388,-0.802178161853298
-0.7117733268197362,-0.8010724271052546
-0.7107962872496336,-0.7999666923572113
-0.7098192476795311,-0.7988609576091681
-0.7088422081094284,-0.7977944561708356
-0.7078651685393258,-0.7967048584413396
-0.7068881289692233,-0.7954353955224995
-0.7059110893991207,-0.794467853937801
-0.7049340498290181,-0.7934341254390487
